Departamento,Municipio,Cultivo,Estado,Topografia,Drenaje,"pH agua:suelo 2,5:1,0",Materia orgánica (MO) %,Fósforo (P) Bray II mg/kg,Azufre (S) Fosfato monocalcico mg/kg,Acidez (Al+H) KCL cmol(+)/kg,Aluminio (Al) intercambiable cmol(+)/kg,Calcio (Ca) intercambiable cmol(+)/kg,Magnesio (Mg) intercambiable cmol(+)/kg,Potasio (K) intercambiable cmol(+)/kg,Sodio (Na) intercambiable cmol(+)/kg,capacidad de intercambio cationico (CICE) suma de bases cmol(+)/kg,"Conductividad el‚ctrica (CE) relacion 2,5:1,0 dS/m",Hierro (Fe) disponible olsen mg/kg,Cobre (Cu) disponible mg/kg,Manganeso (Mn) disponible Olsen mg/kg,Zinc (Zn) disponible Olsen mg/kg,Boro (B) disponible mg/kg,AS,AC,Produccion,Rendimiento,T_max,T_pro,P_max
50,50006,Cacao,ESTABLECIDO,Plano,Bueno,4.63,1.4134665180528827,3.87,4.607329842931937,2.458128598582275,2.160773235882405,1.5450746700000002,0.33925022,0.080857116,0.14,4.523310604582275,0.1146628,572.4839999999999,1.808,5.117000000000001,1,0.2167381974248927,0,0,0,0,0,0,0
50,50006,Cacao,ESTABLECIDO,Pendiente,Bueno,5.08,1.6824076217640735,4.274692957746479,3.298429319371728,3.376101934152419,3.0652829625308544,5.0676868200000005,1.10772257,0.1228330439999999,0.37520049,10.04954485815242,0.1828264,331.111,3.147,8.843,3.357,0.1094420600858369,0,0,0,0,0,0,0
50,50006,Cacao,ESTABLECIDO,Pendiente,Bueno,4.73,1.2479643003844574,3.87,2.905759162303665,7.925169797088912,7.3365788939263075,0.8113481,0.2,0.098694072,0.14,9.115211969,0.10568,427.658,2.494,3.14,1,0.1094420600858369,0,0,0,0,0,0,0
25,19397,Plátano,ESTABLECIDO,,,5.44,6.662989984723241,15.465678873239431,8.795811518324609,4.01,0.3618038906593795,3.2112477100000003,0.7925493400000001,0.15023556,0.14,4.774217500156414,0.2425356,275.682,1,3.026,3.998,0.1952789699570815,12,12,156,13,0,0,0
15,15299,Aguacate,ESTABLECIDO,Ondulado,Regular,5.06,2.3806201025527423,7.218918309859154,3.167539267015707,2.4683283023108324,2.3014747489166085,0.94649959,0.2,0.10606518,0.14,3.8008930723108327,0.100396,404.756,1,2.849,1,0.087982833,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Plano,Bueno,4.74,1.7574008141450783,7.775538028169014,3.952879581151833,1.1321671138698444,0.9045097266484488,2.1354155,0.40206763,0.070503804,0.14,3.840154047869844,0.1960364,271.39200000000005,1,2.5729999999999995,1,0.2381974248927038,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Pendiente,Bueno,4.61,1.907387198907089,3.600890141,4.345549738219895,1.7237499301261598,4.01,1.7216169900000002,0.42469638,0.091322964,0.1055460699999999,4.066932334,0.2023772,545.369,1,5.086,1,0.3454935622317596,0,0,0,0,0,0,0
15,15183,Café,ESTABLECIDO,Plano,Bueno,5.35,4.476783268487877,11.305678873239437,3.298429319371728,0.703779557,0.5125555117674544,8.620710800000001,1.2367969600000002,0.232780716,0.14,10.894068033270443,0.2029055999999999,646.7560000000001,1,4.604,6.282,0.1523605150214592,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Ondulado,Regular,5.06,2.579739958185065,8.654411267605632,5.261780104712042,1.478957040640788,1.1758626446429834,4.72569097,0.99729427,0.1505169,0.14,7.452459180640788,0.2071327999999999,589.6,3.241,14.932,7.382,0.1094420600858369,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Plano,Bueno,4.46,4.507814934300708,4.216101408450704,7.486910994764399,2.713121191796204,2.3617753973598385,0.6927749000000001,0.22121866,0.087553008,0.14,3.814667759796204,0.27741,1994.811,1.625,6.055000000000001,1.312,0.2167381974248927,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Plano,Bueno,4.7,4.228529942,4.040326761,4.607329842931937,2.713121191796204,2.2512242085472507,0.55762341,0.2,0.1074718799999999,0.14,3.658216481796204,0.1342136,1063.671,1,11.632,1,0.2167381974248927,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Pendiente,Bueno,5.02,1.656547900253382,24.50342535211267,5.654450261780105,3.508698082623663,3.1758341513434427,4.265012130000001,0.94606278,0.14151402,0.14,8.961287012623663,0.1970932,397.111,1.368,5.479000000000001,2.255,0.2381974248927038,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Pendiente,Bueno,4.76,1.7160252597279722,7.057791549295774,3.0366492146596857,5.099851864,4.733600902793549,1.1286412,0.27444148,0.095205456,0.14,6.698140000278579,0.1394976,450.989,2.053,16.329,1.368,0.087982833,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Pendiente,Bueno,4.37,1.9280749761156413,8.507932394366195,4.0837696335078535,2.488727709767947,2.231123992399508,1.80988815,0.3910248,0.070672608,0.15846264,4.918775907767948,0.2457059999999999,685.806,1,3.553,1,0.1094420600858369,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Plano,Bueno,5.06,6.607624320968854,5.607650704225351,5.130890052356021,1.4993564480979025,1.366814698046545,2.4527086,0.57006347,0.1348181279999999,0.1144452399999999,4.771391886097902,0.2414787999999999,283.701,1.489,8.114,1.59,0.087982833,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Plano,Bueno,4.79,3.7061635674692734,5.314692957746478,8.141361256544503,2.0909392643542177,1.8190695613707693,2.34236965,0.49366881,0.134930664,0.15941954,5.221327928354218,0.2229848,507.958,1.073,6.585999999999999,1,0.1523605150214592,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Pendiente,Bueno,4.4,1.0876340270181706,7.248214085,3.5602094240837694,0.9791715579414872,0.8140587539836039,1.5395851700000005,0.3359916799999999,0.06,0.11052195,3.0252703579414875,0.15852,343.684,1,2.037,1,0.1094420600858369,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Plano,Bueno,4.62,3.902697450950528,6.940608450704224,6.832460732984293,2.1011389680827746,1.9095205340356145,1.45965805,0.23027016,0.114674184,0.14,4.005741362082775,0.2948472,628.441,1,3.736,1.31,0.3025751072961373,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Plano,Bueno,5.12,5.190511582182962,36.01666478873239,9.319371727748692,0.7139792609990011,0.492455296,5.27464097,0.47592787,0.1123671959999999,0.14,6.676915296999001,0.2420072,1130.2199999999998,1,4.198,3.534,0.4098712446351931,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Pendiente,Bueno,4.62,5.231887136600068,5.182861971830985,8.272251308900525,2.845717340267447,2.7034790718714747,0.94924434,0.41781724,0.117656388,0.14,4.430435308267447,0.29062,511.749,1.396,15.933,1.852,0.3025751072961373,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Plano,Bueno,4.46,4.187154387568134,10.456101408450705,6.308900524,2.6111241545106325,2.281374532768865,0.8389053900000001,0.21415849,0.1560311639999999,0.14,3.9202191985106327,0.3963,586.85,1.396,14.38,1.722,0.2167381974248927,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Plano,Bueno,4.62,3.4734260738730507,16.168777464788732,6.439790575916231,2.0807395606256605,1.7889192371491545,1.11755241,0.18247824,0.06639624,0.14,3.5471664506256606,0.2287971999999999,728.2550000000001,1.693,5.75,23.89,0.130901288,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Pendiente,Bueno,3.92,2.846095089745188,3.996383098591549,8.403141361256546,4.5286684554793775,3.969792689179304,0.55,0.35282747,0.06,0.14,5.591495925479378,0.2710691999999999,980.616,1,1.029,1,0.3240343347639485,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Pendiente,Bueno,4.45,2.4607852392358853,3.87,6.570680628272251,2.753920006710433,2.5728276669111434,0.55,0.3240437,0.077987448,0.14,3.8059511547104328,0.1918091999999999,825.4399999999999,1,1.093,1,0.1523605150214592,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Plano,Bueno,4.34,3.5665210713115405,19.698918309859152,11.937172774869111,2.6315235619677466,2.3718255054337103,1.49270484,0.35717219,0.1400510519999999,0.11090471,4.732356353967747,0.309114,778.338,1.381,3.1180000000000003,1.62,0.087982833,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Plano,Bueno,4.63,4.285421329308762,3.864552112676056,3.167539267015707,4.243076751079778,3.718539987332512,1.83481048,0.40623132,0.099988236,0.13568842,6.719795207079779,0.1342136,1026.501,1,2.135,1,0.087982833,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Ondulado,Bueno,4.86,3.2805384111248035,8.654411267605632,3.167539267015707,1.5299555592835736,1.1859127527168551,5.1118224,1.12473939,0.153836712,0.16276869,8.083122751283575,0.3070004,727.012,2.044,19.499,2.6340000000000003,0.1094420600858369,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Plano,Bueno,4.45,4.818131592429005,4.347932394366197,4.869109947643979,2.6723223768819757,2.351725289285967,2.04714434,0.50833224,0.1184441399999999,0.1289901199999999,5.475233216881975,0.2953755999999999,994.191,1,16.216,1,0.1523605150214592,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Pendiente,Bueno,4.73,6.281791829934139,4.670185915492957,3.298429319371728,2.774319414167547,2.502476910394042,1.4403350100000003,0.34341391,0.1506857039999999,0.14,4.808754038167548,0.354028,4.01,1,12.601,1.206,0.1523605150214592,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Pendiente,Bueno,4.64,1.8918713660006736,12.741171830985914,3.952879581151833,2.121538375539889,1.859269993666256,0.55,0.19243489,0.077706108,0.14,3.041679373539889,0.1421396,455.521,1,4.039,1,0.130901288,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Plano,Bueno,4.3,1.2789959661972872,3.87,3.5602094240837694,0.775177483,0.5427058359890693,0.55,0.27281221,0.06,0.14,1.757989693370344,0.1664459999999999,422.697,1,1.794,1,0.130901288,0,0,0,0,0,0,0
81,81794,Café,ESTABLECIDO,Plano,Bueno,4.63,3.437222463758084,69.53103098591548,3.298429319371728,1.9889422270686457,1.7085183725581812,1.05134904,0.22212381,0.09115416,0.14,3.4535692370686464,0.1986784,1210.545,1.542,5.698,4.214,0.1523605150214592,1.8,1.8,36,20,0,0,0
85,85315,Café,ESTABLECIDO,Plano,Bueno,4.33,3.995792448389017,10.675819718309858,6.439790575916231,3.835088601937492,3.6883896631108968,0.6679623600000001,0.2,0.1114669079999999,0.14420483,4.938722699937491,0.2124168,1948.128,1.65,5.502000000000001,1.093,0.1952789699570815,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Pendiente,Bueno,4.18,1.1238376371331384,6.193566197183098,2.905759162303665,0.5303845938849723,0.3115533502900213,0.5890233500000001,0.27715693,0.07821252,0.14,1.5747773938849725,0.1247023999999999,254.496,1,1,1,0.087982833,0,0,0,0,0,0,0
85,85315,Café,ESTABLECIDO,Plano,Bueno,4.64,3.649272180145752,28.765960563380283,4.869109947643979,2.968113785010133,2.783879936462448,0.7892803100000001,0.41926548,0.126828072,0.14,4.403487647010133,0.2425356,1436.631,2.335,8.875,1.213,0.1094420600858369,0,0,0,0,0,0,0
15,15442,Plátano,POR ESTABLECER,Plano,Bueno,5.42,1.7755026192025622,13.898354929577463,2.774869109947644,2.5193268209536184,2.3014747489166085,2.12169175,0.45348015,0.126828072,0.17721788,5.398544672953618,0.068692,353.397,1.574,2.302,1.684,0.087982833,0,0,0,0,0,0,0
15,15442,Cacao,POR ESTABLECER,Pendiente,Bueno,4.65,3.137249694234062,4.655538028169014,3.5602094240837694,4.742862233779078,4.411997444429655,1.71612749,0.38849038,0.093573684,0.14028154,7.081335327779078,0.1569347999999999,769.4169999999999,1.493,1,1,0.1094420600858369,0,0,0,0,0,0,0
85,85001,Arroz,POR ESTABLECER,Plano,Regular,5.12,2.5616381531275816,165.00292414355624,12.723684210526317,1.852675857763627,1.4943183870737302,3.8064193,1.31807943,1.255845492,0.39319021,8.626210289763629,0.7207376,759.2090000000001,1.5459999999999998,17.432000000000002,2.964,0.5600858369098712,380,380,3.04,8,0,0,0
85,85001,Arroz,POR ESTABLECER,Plano,Regular,5,1.4755298496785418,28.88306280587276,3.6447368421052633,1.280219834297338,1.0877011388904023,1.63795701,0.54091764,0.319714776,0.1638212799999999,3.942630540297338,0.2330244,563.442,1.192,13.804,1,0.2381974248927038,380,380,3.04,8,0,0,0
85,85001,Arroz,POR ESTABLECER,Plano,Regular,4.8,2.928846199,35.76850326264274,2.8552631578947367,2.1128831411573947,1.850108479234142,1.20955643,0.4217999,0.35617644,0.15080744,4.251223351157394,0.2842792,488.73,1.281,7.02,1.164,0.2811158798283261,380,380,3.04,8,0,0,0
25,25154,Pastos,ESTABLECIDO,Pendiente,Bueno,5.05,2.313384826624944,13.881105220228385,3.5131578947368425,2.258599219857905,1.8704393416433085,3.0659955400000003,4.01,0.3950576279999999,0.16736181,7.365486207857906,0.1468951999999999,2084.817,1.14,3.107,2.685,0.087982833,7,7,84,12,0,0,0
25,25154,Pastos,ESTABLECIDO,Pendiente,Bueno,5.16,4.570938514508305,32.676496737357255,14.828947368421051,2.8622801173314465,2.4498689203045507,3.3627579100000005,1.31029514,0.5542398,0.15195572,8.241528687331446,0.2446491999999999,1057.925,1,2.822,1,0.1738197424892703,7,7,84,12,0,0,0
25,25154,Pastos,ESTABLECIDO,Pendiente,Bueno,4.99,3.329671881995117,7.224702283849917,3.5131578947368425,2.7790137866454407,2.307552883440386,3.62614412,1.74494817,0.2018333159999999,0.2067860899999999,8.558725483,0.1992068,1456.371,1,6.262,1.084,0.087982833,7,7,84,12,0,0,0
25,25154,Pastos,ESTABLECIDO,Pendiente,Bueno,5.19,20.92144565212375,6.8954608482871125,8.513157894736844,2.071249975814392,1.829777616824976,3.68718736,0.5595637299999999,0.2281104719999999,0.14123844,6.687349977814392,0.3260228,435.71,1,2.261,1,0.130901288,7,7,84,12,0,0,0
25,25843,Pastos,ESTABLECIDO,Pendiente,Bueno,4.67,11.603722516834434,108.18730424143554,19.30263157894737,2.092066558485893,4.01,4.844264170000001,0.76811029,0.5231798639999999,0.10803401,8.335654892485895,1.4911448,643.511,1.356,7.003,4.686,0.1094420600858369,0,0,0,0,0,0,0
25,25843,Maíz,ESTABLECIDO,Pendiente,Bueno,4.62,3.9942667248198873,276.3767128874388,31.38157894736842,2.914321574,2.368545470667885,3.817068930000001,0.60970904,0.7734036599999999,0.14,8.214503204,0.3926012,916.461,2.153,12.271,4.54,0.3240343347639485,0,0,0,0,0,0,0
25,25843,Maíz,ESTABLECIDO,Pendiente,Bueno,4.8,2.127194831747966,343.08389070146814,10.355263157894736,2.008800227799888,1.3824986438233149,8.359081230000001,3.87277479,0.791521956,0.26544406,15.297622263799887,0.3450452,459.547,1,12.142,1.4149999999999998,0.087982833,0,0,0,0,0,0,0
25,25320,Café,POR ESTABLECER,Pendiente,Bueno,4.69,2.1659374610350404,5.718395636333004,12.55586592178771,1.6198840924803153,1.3266850717413785,2.00421645,0.6180364199999999,0.1333551599999999,0.14,4.475492122480315,0.2287971999999999,314.21500000000003,1,3.844,1,0.4537037037037036,10,10,150,15,0,0,0
25,25320,Café,POR ESTABLECER,Pendiente,Bueno,5.45,6.976512482482889,13.834942611039745,2.639664804469274,0.3937218280334099,0.2041053956525197,7.473405300000001,1.4755755300000002,0.3410403479999999,0.14,9.783743006033411,0.2515184,290.158,1,1.732,1,0.2222222222222222,10,10,150,15,0,0,0
25,25320,Café,ESTABLECIDO,Pendiente,Bueno,4.58,1.4267934684593375,4.653930459322284,11.578212290502794,5.478358007207733,4.841833552423662,1.6460814700000002,1.00761298,0.191198664,0.14,8.423251121207734,0.2039624,401.973,1,3.696,1,0.2222222222222222,10,10,150,15,0,0,0
25,25320,Café,ESTABLECIDO,Pendiente,Bueno,5.24,6.121953979438554,3.633817998020344,4.455307262569833,0.9899291676268592,4.01,4.538938180000001,0.91112399,0.2193326639999999,0.14,6.759324002,0.2282688,233.563,4.2330000000000005,5.885,1.167,0.3611111111111111,10,10,150,15,0,0,0
25,25320,Café,POR ESTABLECER,Pendiente,Bueno,4.94,1.529929839516413,3.87,2.081005586592179,6.254552468187884,5.692272700975828,4.0752950100000005,1.6814066399999998,0.1799450639999999,0.14,12.291199182187883,0.1326284,472.0319999999999,1,7.896,1.986,0.199074074,10,10,150,15,0,0,0
25,25320,Café,ESTABLECIDO,Pendiente,Bueno,4.75,1.2327988657567448,4.993967946422931,2.360335195530726,3.948467475420769,3.628540367155906,2.7593520700000003,1.09305914,0.181689372,0.12946857,8.112036627,0.1352704,240.163,1,2.103,1,0.199074074,10,10,150,15,0,0,0
25,25320,Café,ESTABLECIDO,Pendiente,Bueno,4.86,1.1222956110527358,3.87,7.667597765363129,2.0023567254270564,1.9276620700515752,1.14631739,0.7058359700000001,0.07258572,0.14,4.027095805427057,0.1236456,31.298,1,3.759,1,0.199074074,10,10,150,15,0,0,0
25,25320,Café,ESTABLECIDO,Pendiente,Bueno,5.07,4.361268787821348,4.3138929722216375,2.779329608938548,2.632311650280512,2.1090890884093705,0.8020159500000001,0.31843177,0.1312732439999999,0.14,3.984032614280512,0.1194184,180.477,1,1,1,0.1759259259259259,10,10,150,15,0,0,0
25,25320,Café,ESTABLECIDO,Pendiente,Bueno,5.1,1.4955510491640545,3.87,2.360335195530726,3.982215060680775,2.8121187845458278,4.733266480000001,2.64448624,0.15389298,0.11664611,11.630506870680776,0.1252307999999999,186.813,1,5.788,1,0.199074074,10,10,150,15,0,0,0
25,25320,Café,ESTABLECIDO,Pendiente,Bueno,5.4,2.882980802669941,10.523273171450835,4.175977653631285,1.2711590447935806,0.7257080734311813,3.91697783,1.37745727,0.1101727439999999,0.11310558,6.788872469,0.1136059999999999,89.876,1,2.548,1,0.2222222222222222,10,10,150,15,0,0,0
25,25320,Café,POR ESTABLECER,Pendiente,Bueno,5.36,4.3293456253513005,4.402598403639197,9.064245810055866,0.314977462,0,4.7387559800000005,1.02788834,0.215168832,0.1238228599999999,6.4206134744267285,0.2330244,85.84199999999998,1,2.204,1,0.2453703703703703,10,10,150,15,0,0,0
17,17662,Aguacate,POR ESTABLECER,Pendiente,Bueno,5.13,4.872039387342099,14.18976433670998,7.946927374301676,1.541139726873633,0.9184742804363388,2.02419823,0.69714653,0.1498416839999999,0.13061685,4.542943020873634,0.1659175999999999,103.054,1,10.085,1.161,0.199074074,0,0,0,0,0,0,0
50,5313,Cacao,ESTABLECIDO,Plano,Bueno,5.34,2.3245963221572747,5.793945491803278,1.699438202247191,0.7053240797521817,0.534788893,2.93369859,0.6625698,0.07371108,0.10095295,4.476256499752181,0.1759572,4.01,3.015,14.251,1,0.1868953386103782,625,625,8.375,13.4,0,0,0
50,5313,Cacao,ESTABLECIDO,Plano,Bueno,5.16,1.552700334556104,5.880256967213113,6.053370786516855,1.4422298347171478,1.216382579254521,1.23173401,0.30376834,0.1477035,0.14,3.225435684717148,0.1199468,245.443,1.568,8.003,1,0.1429199648197009,625,625,8.375,13.4,0,0,0
50,5313,Cacao,ESTABLECIDO,Plano,Bueno,5.08,1.7080504704255215,16.194478278688525,1.8398876404494384,1.0737769572346647,0.9227729911586026,2.42504152,0.6498977,0.148378716,0.11425386,4.411348753234664,0.1326284,288.376,2.2,10.241,1,0.1429199648197009,625,625,8.375,13.4,0,0,0
50,5313,Cacao,ESTABLECIDO,Plano,Bueno,4.76,1.5041534170969106,19.531855327868847,3.1039325842696632,1.3159031338660108,1.0486056717711392,3.15635271,0.68012971,0.2263661639999999,0.1022926099999999,5.481044327866011,0.4132088,381.39200000000005,2.515,13.892,2.063,0.1868953386103782,625,625,8.375,13.4,0,0,0
50,5313,Cacao,ESTABLECIDO,Plano,Bueno,5.32,1.846409185184223,11.317879918032784,2.1207865168539324,0.3473984273406268,0.241179305,2.4277862700000004,0.5316851100000001,0.121032468,0.14,3.527902275340628,0.2208711999999999,191.565,1.52,6.674,1,0.1649076517150395,625,625,8.375,13.4,0,0,0
50,5313,Cacao,ESTABLECIDO,Plano,Bueno,4.82,2.6741341278634656,10.483535655737704,3.3848314606741576,2.20019004,1.9084623226234732,1.9960919900000005,0.45366118,0.090197604,0.14,4.840140814,0.2726543999999999,383.526,2.055,16.009,1,0.1649076517150395,625,625,8.375,13.4,0,0,0
50,5313,Cacao,ESTABLECIDO,Plano,Bueno,4.93,1.807571651216868,12.396773360655738,5.632022471910112,1.3790664842915792,1.0800638419242734,2.15012736,0.69225872,0.264628404,0.1317651299999999,4.6178460982915785,0.2752964,252.494,1.929,24.573,1,0.1868953386103782,625,625,8.375,13.4,0,0,0
50,5313,Cacao,ESTABLECIDO,Plano,Bueno,5.31,2.467809728661895,6.470052049180326,1.9803370786516856,1.242212558369514,1.0486056717711392,3.33937264,0.5727789200000001,0.098525268,0.1110004,5.363889786369514,0.1321,469.15,2.507,9.052,1,0.2088830255057168,625,625,8.375,13.4,0,0,0
50,5313,Cacao,ESTABLECIDO,Plano,Bueno,5.37,1.7493153502658365,26.681322540983604,3.946629213483146,0.72637853,0.5662470627564152,2.2674928700000003,0.36730987,0.060037956,0.14,3.5212192258940385,0.1389692,417.043,2.648,6.73,1,0.3188214599824098,625,625,8.375,13.4,0,0,0
50,5313,Cacao,ESTABLECIDO,Plano,Bueno,5.25,2.089143772480188,27.19919139344262,6.755617978,0.5474157036882604,0.4404143821438785,3.5042772200000005,0.69805168,0.094699044,0.15549625,4.999939897688261,0.2187576,519.134,4.241,12.702,1.577,0.2088830255057168,625,625,8.375,13.4,0,0,0
50,5313,Cacao,ESTABLECIDO,Plano,Bueno,4.96,1.892528756770456,6.757756967213114,3.244382022,1.7896282620577746,1.551936394221286,1.5199327600000003,0.44804925,0.09,0.17071096,3.988321232057775,0.1284012,409.508,2.601,8.88,1,0.252858399,625,625,8.375,13.4,0,0,0
50,5313,Cacao,ESTABLECIDO,Plano,Bueno,4.86,1.8876740650245365,29.457675,6.193820224719101,1.589610985710141,1.363187373302481,2.10665052,0.57096862,0.1106228879999999,0.1642997299999999,4.542152744,0.2018488,641.267,3.46,11.273,2.39,0.252858399,625,625,8.375,13.4,0,0,0
50,5313,Cacao,ESTABLECIDO,Plano,Bueno,5.1,1.589110522650499,12.29607663934426,2.1207865168539324,1.0421952820218805,0.9437451045940254,2.17406158,0.67234542,0.230473728,0.2464974399999999,4.365573450021881,0.2018488,434.775,1.799,16.598,1,0.1649076517150395,625,625,8.375,13.4,0,0,0
50,5313,Cacao,ESTABLECIDO,Plano,Bueno,5,1.4070595821785243,10.368453688524587,4.087078651685394,0.989559157,0.7864542538283544,1.87718942,0.40351587,0.06836562,0.10573745,3.444367517,0.1854683999999999,284.009,2.699,8.411999999999999,1.078,0.2088830255057168,625,625,8.375,13.4,0,0,0
50,5313,Cacao,ESTABLECIDO,Plano,Bueno,5.02,2.079434388988349,15.77730614754098,2.5421348314606744,1.6738287862775656,1.4575618837618836,2.30591937,0.55467592,0.1009447919999999,0.15903678,4.794405648277566,0.155878,367.576,3.023,7.054,1.014,0.1429199648197009,625,625,8.375,13.4,0,0,0
50,5313,Cacao,ESTABLECIDO,Plano,Bueno,5.46,1.7541700420117556,11.634355327868851,2.4016853932584272,0.3368712022696987,0.2621514179427848,3.86427863,1.1084466899999998,0.094023828,0.12650218,5.53012253,0.1838831999999999,319.82500000000005,2.854,7.382,1.681,0.1868953386103782,625,625,8.375,13.4,0,0,0
50,5313,Cacao,ESTABLECIDO,Plano,Bueno,5.39,1.5696917556668213,17.748084836065573,2.1207865168539324,0.736905755,0.6291634030626836,2.8391694000000003,0.46271268,0.09,0.15224279,4.251030624964966,0.1030379999999999,212.256,2.196,5.766,1,0.1429199648197009,625,625,8.375,13.4,0,0,0
