Fertilizante,Tipo,numero
"10-30-10, 18-18-18, DAP, Nitrato de potasio y Boro",orgánico-minerales,37
"10-30-10, DAP y KCl",orgánico-minerales,37
"10-30-10, DAP y Urea",orgánico-minerales,37
"10-30-10, DAP, KCl y Abono orgánico",orgánico-minerales,37
"10-30-10, KCl y Microorganismos eficaces",orgánico-minerales,37
"10-30-10, KCl, Sulfato doble de calcio y magnesio y Abono orgánico",orgánico-minerales,37
"10-30-10, Menores y abono orgánico",orgánico-minerales,37
"10-30-10, Urea y Abono orgánico",orgánico-minerales,37
"10-30-10, urea y Cal viva",orgánico-minerales,37
"10-30-10, Urea y DAP",orgánico-minerales,37
"10-30-10, Urea y KCl",orgánico-minerales,37
"10-30-10, Urea y Sulfato de amonio",orgánico-minerales,37
10-30-15,orgánico-minerales,37
10-4-14 y 17-6-18-2,orgánico-minerales,37
11-5-27 y 15-4-23,orgánico-minerales,37
11-5-27 y Menores,orgánico-minerales,37
"11-5-27, DAP, Boro, Abono orgánico y Cal dolomita",orgánico-minerales,37
"12-11-17, Nitrato de calcio, Nitrato de potasio, acido fosfórico y Sulfato de magnesio",orgánico-minerales,37
"12-11-18, 10-20-10 y Nitrato de calcio y Boro",orgánico-minerales,37
12-21-21,orgánico-minerales,37
"12-24-1, 30-0-20 y Urea",orgánico-minerales,37
12-24-12,orgánico-minerales,37
12-24-12 y 15-15-15,orgánico-minerales,37
12-24-12 y Abono orgánico,orgánico-minerales,37
12-24-12 y Cal,orgánico-minerales,37
12-24-12 y Calfos,orgánico-minerales,37
12-24-12 y DAP,orgánico-minerales,37
12-24-12 y Gallinaza,orgánico-minerales,37
12-24-12 y Sulfato de potasio,orgánico-minerales,37
12-24-12 y Sulfato dobre de Calcio y Magnesio,orgánico-minerales,37
12-24-12 y Urea,orgánico-minerales,37
"12-24-12, 19-4-19 y Nitrato de calcio",orgánico-minerales,37
"12-24-12, 19-4-19, Nitrato de calcio y Cal",orgánico-minerales,37
"12-24-12, KCl y Nitrato de potasio",orgánico-minerales,37
"12-24-12, Nitrato de calcio",orgánico-minerales,37
"12-24-12, Urea y KCl",orgánico-minerales,37
"12-24-12, Urea, DAP y Menores",orgánico-minerales,37
12-24-24,orgánico-minerales,37
"12-30-10, Fertilizantes para fertirriego y Abono orgánico",orgánico-minerales,37
12-34-12,orgánico-minerales,37
"12-40-0, KCl y Nitrato de calcio y boro",orgánico-minerales,37
13-13-30 y Menores,orgánico-minerales,37
13-24-8,orgánico-minerales,37
13-26-10,orgánico-minerales,37
13-26-10 y 15-15-15,orgánico-minerales,37
"13-26-10, 10-20-30 y Gallinaza",orgánico-minerales,37
13-26-6,orgánico-minerales,37
13-26-6 y 10-20-20,orgánico-minerales,37
13-26-6 y 10-20-30,orgánico-minerales,37
13-26-6 y 10-30-10,orgánico-minerales,37
13-26-6 y 12-34-12,orgánico-minerales,37
13-26-6 y 15-15-15,orgánico-minerales,37
13-26-6 y 18-18-18,orgánico-minerales,37
13-26-6 y Abono orgánico,orgánico-minerales,37
13-26-6 y Cal,orgánico-minerales,37
13-26-6 y Calfos,orgánico-minerales,37
13-26-6 y Fertilizante para uso en Fertirriego,orgánico-minerales,37
13-26-6 y Gallinaza,orgánico-minerales,37
13-26-6 y Humus,orgánico-minerales,37
"13-26-6, 10-20-20 y 15-15-15",orgánico-minerales,37
"13-26-6, 10-20-20 y Menores",orgánico-minerales,37
"13-26-6, 12-24-12",orgánico-minerales,37
"13-26-6, 12-24-12 y Gallinaza",orgánico-minerales,37
"13-26-6, 15-15-15 y Abono orgánico",orgánico-minerales,37
"13-26-6, 17-6-18-2, DAP, Kieserita y Gallinaza",orgánico-minerales,37
"13-26-6, 18-18-18, 15-15-15",orgánico-minerales,37
"13-26-6, Abono orgánico y Cal",orgánico-minerales,37
"13-26-6, Boro y Cal",orgánico-minerales,37
"13-26-6, Gallinaza y Cal",orgánico-minerales,37
14-14-14,orgánico-minerales,37
"14-14-14, Urea y DAP",orgánico-minerales,37
15-15-15,orgánico-minerales,37
15-15-15  y 17-6-18-2,orgánico-minerales,37
15-15-15 Gallinaza,orgánico-minerales,37
15-15-15 y 10-10-10,orgánico-minerales,37
15-15-15 y 10-15-10,orgánico-minerales,37
15-15-15 y 10-20-20,orgánico-minerales,37
15-15-15 y 10-20-26,orgánico-minerales,37
15-15-15 y 10-20-30,orgánico-minerales,37
15-15-15 y 10-30-10,orgánico-minerales,37
15-15-15 y 10-3-18,orgánico-minerales,37
15-15-15 y 12-24-12,orgánico-minerales,37
15-15-15 y 13-26-10,orgánico-minerales,37
15-15-15 y 13-26-6,orgánico-minerales,37
15-15-15 y 15-4-23,orgánico-minerales,37
15-15-15 y 17-6-18-2,orgánico-minerales,37
15-15-15 y 18-18-18,orgánico-minerales,37
15-15-15 y 23-4-20,orgánico-minerales,37
15-15-15 y 25-4-24,orgánico-minerales,37
15-15-15 y 31-8-8,orgánico-minerales,37
15-15-15 y Abono orgánico,orgánico-minerales,37
15-15-15 y Amidas,orgánico-minerales,37
15-15-15 y Boro,orgánico-minerales,37
15-15-15 y Cal,orgánico-minerales,37
15-15-15 y cal agricola,orgánico-minerales,37
15-15-15 y Cal agrícola,orgánico-minerales,37
15-15-15 y cal dolomita,orgánico-minerales,37
15-15-15 y calfos,orgánico-minerales,37
15-15-15 y DAP,orgánico-minerales,37
15-15-15 y Gallinaza,orgánico-minerales,37
15-15-15 y Hierro,orgánico-minerales,37
15-15-15 y Humus,orgánico-minerales,37
15-15-15 y KCl,orgánico-minerales,37
15-15-15 y MAP,orgánico-minerales,37
15-15-15 y Menores,orgánico-minerales,37
15-15-15 y microorganismos eficaces,orgánico-minerales,37
15-15-15 y nitrato de amonio,orgánico-minerales,37
15-15-15 y nitrato de potasio,orgánico-minerales,37
15-15-15 y Pollinaza,orgánico-minerales,37
15-15-15 y Porquinaza,orgánico-minerales,37
15-15-15 y Sulfato de amonio,orgánico-minerales,37
15-15-15 y Sulfato de magnesio,orgánico-minerales,37
15-15-15 y Sulfato de potasio,orgánico-minerales,37
15-15-15 y Urea,orgánico-minerales,37
15-15-15 y Yeso agrícola,orgánico-minerales,37
15-15-15 Yeso agricola y Oxido de magnesio,orgánico-minerales,37
"15-15-15, 10-10-10 y DAP",orgánico-minerales,37
"15-15-15, 10-20-20 y 12-24-12",orgánico-minerales,37
"15-15-15, 10-20-20 y 13-26-6",orgánico-minerales,37
"15-15-15, 10-20-20 y Abono orgánico",orgánico-minerales,37
"15-15-15, 10-20-20 y DAP",orgánico-minerales,37
"15-15-15, 10-20-30",orgánico-minerales,37
"15-15-15, 10-30-10 y 13-26-6",orgánico-minerales,37
"15-15-15, 10-30-10 y abono orgánico",orgánico-minerales,37
"15-15-15, 10-30-10 y Cal",orgánico-minerales,37
"15-15-15, 10-30-10 y DAP",orgánico-minerales,37
"15-15-15, 10-30-10 y Menores",orgánico-minerales,37
"15-15-15, 10-30-10 y Sulfato de amonio",orgánico-minerales,37
"15-15-15, 10-30-10 y Urea",orgánico-minerales,37
"15-15-15, 10-30-10, Gallinaza y Cal",orgánico-minerales,37
"15-15-15, 10-30-10, KCl y abono orgánico",orgánico-minerales,37
"15-15-15, 10-30-10, Urea y Menores",orgánico-minerales,37
"15-15-15, 10-30-10, Urea y Nitrato de potasio",orgánico-minerales,37
"15-15-15, 10-30-10, Urea y Sulfato de potasio",orgánico-minerales,37
"15-15-15, 10-50-10 y KCl",orgánico-minerales,37
"15-15-15, 12-24-12 y 10-30-10",orgánico-minerales,37
"15-15-15, 12-24-12 y 13-26-6",orgánico-minerales,37
"15-15-15, 12-24-12, Urea y Sufalto de amonio",orgánico-minerales,37
"15-15-15, 13-26-6",orgánico-minerales,37
"15-15-15, 13-26-6 y 10-20-20",orgánico-minerales,37
"15-15-15, 13-26-6 y 12-24-12",orgánico-minerales,37
"15-15-15, 13-26-6 y Cal",orgánico-minerales,37
"15-15-15, 13-26-6 y Gallinaza",orgánico-minerales,37
"15-15-15, 14-4-23 y Boro",orgánico-minerales,37
"15-15-15, 15-4-23 y Urea",orgánico-minerales,37
"15-15-15, 15-4-23, 17-6-18-2 y Nitrato de calcio",orgánico-minerales,37
"15-15-15, 15-4-23, Urea, DAP y KCl",orgánico-minerales,37
"15-15-15, 17-6-18-2, Urea y Gallinaza",orgánico-minerales,37
"15-15-15, 18-18-18",orgánico-minerales,37
"15-15-15, 18-18-18 , DAP y Menores",orgánico-minerales,37
"15-15-15, 18-18-18 y 10-30-10",orgánico-minerales,37
"15-15-15, 18-18-18 y DAP",orgánico-minerales,37
"15-15-15, 18-18-18 y Gallinaza",orgánico-minerales,37
"15-15-15, 18-18-18 y Urea",orgánico-minerales,37
"15-15-15, 18-18-18, 15-4-23 y Urea",orgánico-minerales,37
"15-15-15, 18-18-18, Urea y Gallinaza",orgánico-minerales,37
"15-15-15, Abono orgánico y Cal agrícola",orgánico-minerales,37
"15-15-15, Borax y Humus",orgánico-minerales,37
"15-15-15, Cal dolomita y Abono orgánico",orgánico-minerales,37
"15-15-15, cal viva y Abono orgánico",orgánico-minerales,37
"15-15-15, DAP y Gallinaza",orgánico-minerales,37
"15-15-15, DAP y KCl",orgánico-minerales,37
"15-15-15, DAP y Menores",orgánico-minerales,37
"15-15-15, DAP y Nitrato de potasio",orgánico-minerales,37
"15-15-15, DAP y Urea",orgánico-minerales,37
"15-15-15, Gallinaza y Cal dolomita",orgánico-minerales,37
"15-15-15, Humus y Cal",orgánico-minerales,37
"15-15-15, KCl y Borax",orgánico-minerales,37
"15-15-15, KCl y Cal",orgánico-minerales,37
"15-15-15, KCl y Menores",orgánico-minerales,37
"15-15-15, KCl y Sulfato de amonio",orgánico-minerales,37
"15-15-15, KCl, Roca fosfórica y Gallinaza",orgánico-minerales,37
"15-15-15, KCl, Urea y DAP",orgánico-minerales,37
"15-15-15, Menores y Cal dolomita",orgánico-minerales,37
"15-15-15, Nitrato de amonio y Abono orgánico",orgánico-minerales,37
"15-15-15, Nitrato de calcio y Menores",orgánico-minerales,37
"15-15-15, Sulfato de amonio y Gallinaza",orgánico-minerales,37
"15-15-15, Sulfato de amonio y Urea",orgánico-minerales,37
"15-15-15, Uera y Cal",orgánico-minerales,37
"15-15-15, Ura y Sulfato de amonio",orgánico-minerales,37
"15-15-15, Urea , KCl y Oxido de magnesio",orgánico-minerales,37
"15-15-15, Urea y Abono orgánico",orgánico-minerales,37
"15-15-15, Urea y Cal",orgánico-minerales,37
"15-15-15, Urea y Cal agrícola",orgánico-minerales,37
"15-15-15, Urea Y Cal dolomita",orgánico-minerales,37
"15-15-15, Urea y DAP",orgánico-minerales,37
"15-15-15, Urea y Gallinaza",orgánico-minerales,37
"15-15-15, Urea y KCl",orgánico-minerales,37
"15-15-15, Urea y Menores",orgánico-minerales,37
"15-15-15, Urea y Nitrato de amonio",orgánico-minerales,37
"15-15-15, Urea y Nitrato de potasio",orgánico-minerales,37
"15-15-15, Urea y Pollinaza",orgánico-minerales,37
"15-15-15, Urea y Porquinaza",orgánico-minerales,37
"15-15-15, Urea y Sulfato de magnesio",orgánico-minerales,37
"15-15-15, urea, Cal dolomita y Abono orgánico",orgánico-minerales,37
"15-15-15, Urea, DAP y KCl",orgánico-minerales,37
"15-15-15, Urea, DAP y Menores",orgánico-minerales,37
"15-15-15, Urea, DAP, KCl y Cal",orgánico-minerales,37
"15-15-15, Urea, DAP, Nitrato de potasio y Menores",orgánico-minerales,37
"15-15-15, Urea, Gallinaza y Menores",orgánico-minerales,37
"15-15-15, Urea, KCl y Menores",orgánico-minerales,37
"15-15-15, Urea, KCl y Sulfato de amonio",orgánico-minerales,37
"15-15-15, Urea, Menores",orgánico-minerales,37
"15-15-15, Yeso Agricola, Gallinaza y Porquinaza",orgánico-minerales,37
15-15-15. Urea y DAP,orgánico-minerales,37
"15-15-15. Urea, Sulfato de magnesio y boro",orgánico-minerales,37
15-15-15+,orgánico-minerales,37
15-25-0,orgánico-minerales,37
15-4-23 y 10-30-10,orgánico-minerales,37
15-4-23 y 15-15-15,orgánico-minerales,37
15-4-23 y Cal dolomita,orgánico-minerales,37
15-4-23 y DAP,orgánico-minerales,37
15-4-23 y Gallinaza,orgánico-minerales,37
15-4-23 y KCl,orgánico-minerales,37
15-4-23 y Menores,orgánico-minerales,37
15-4-23 y Urea,orgánico-minerales,37
"15-4-23, 0-0-40, urea y Nitrato de Calcio",orgánico-minerales,37
"15-4-23, 10-30-10 y DAP",orgánico-minerales,37
"15-4-23, 17-6-18-2",orgánico-minerales,37
"15-4-23, 18-18-18 y Lombricompuesto",orgánico-minerales,37
"15-4-23, 18-18-18, 30-30-30 y 11-3-36",orgánico-minerales,37
"15-4-23, DAP, KCl, Nitrato de calcio y Boro y Gallinaza",orgánico-minerales,37
"15-4-23, KCl y DAP",orgánico-minerales,37
"15-4-23, Menores y Abono orgánico",orgánico-minerales,37
"15-4-23, Sulfato de amonio, sulfato de potasio y Menores",orgánico-minerales,37
"15-4-23, Urea, DAP y KCl",orgánico-minerales,37
15-42-34 y 12-24-12,orgánico-minerales,37
15-9-20 KCl y Nitrato de calcio,orgánico-minerales,37
15-9-20 y 3-21-21,orgánico-minerales,37
15-9-20 y Menores,orgánico-minerales,37
"15-9-20, 0-21-0 y 0-0-3",orgánico-minerales,37
"15-9-20, 3-21-21 y 25-15-0",orgánico-minerales,37
"15-9-20, DAP, KCl y Sulfato de amonio",orgánico-minerales,37
"15-9-20, Nitrato de calcio y Boro",orgánico-minerales,37
15-9-23 y Nitrato de calcio y Boro,orgánico-minerales,37
16-16-16,orgánico-minerales,37
16-16-16 y Cal,orgánico-minerales,37
16-16-16 y KCl,orgánico-minerales,37
16-16-16 y Menores,orgánico-minerales,37
16-16-16 y Nitrato de potasio,orgánico-minerales,37
"16-16-16, DAP y Abono orgánico",orgánico-minerales,37
"16-16-16, DAP y KCl",orgánico-minerales,37
"16-16-16, Urea y DAP",orgánico-minerales,37
"16-16-16, Urea y KCl",orgánico-minerales,37
16-21-21 y Abono orgánico,orgánico-minerales,37
"16-4-4, DAP y Gallinaza",orgánico-minerales,37
17-17-17,orgánico-minerales,37
"17-27-13, Urea y Roca fosfórica",orgánico-minerales,37
17-6-18 y Menores,orgánico-minerales,37
17-6-18-2,orgánico-minerales,37
17-6-18-2 y 10-30-10,orgánico-minerales,37
17-6-18-2 y 12-24-12,orgánico-minerales,37
17-618-2 y 15-15-15,orgánico-minerales,37
17-6-18-2 y 15-15-15,orgánico-minerales,37
17-6-18-2 y 15-4-23,orgánico-minerales,37
17-6-18-2 y 15-9-20,orgánico-minerales,37
17-6-18-2 y 18-18-18,orgánico-minerales,37
17-6-18-2 y 19-4-19,orgánico-minerales,37
17-6-18-2 y 25-4-24,orgánico-minerales,37
17-6-18-2 y Abono orgánico,orgánico-minerales,37
17-6-18-2 y Amidas,orgánico-minerales,37
17-6-18-2 y Borax,orgánico-minerales,37
17-6-18-2 y Cal,orgánico-minerales,37
17-6-18-2 y Cal dolomita,orgánico-minerales,37
17-6-18-2 y DAP,orgánico-minerales,37
17-6-18-2 y Gallinaza,orgánico-minerales,37
17-6-18-2 y KCl,orgánico-minerales,37
17-6-18-2 y Menores,orgánico-minerales,37
17-6-18-2 y Micorrizas,orgánico-minerales,37
17-6-18-2 y Pulpa de café,orgánico-minerales,37
17-6-18-2 y Sulfato de amonio,orgánico-minerales,37
17-6-18-2 y Urea,orgánico-minerales,37
"17-6-18-2, 10-20-20 y Nitrato de amonio",orgánico-minerales,37
"17-6-18-2, 15-15-15 Gallinaza",orgánico-minerales,37
"17-6-18-2, 15-15-15 y 10-20-30",orgánico-minerales,37
"17-6-18-2, 15-15-15 y DAP",orgánico-minerales,37
"17-6-18-2, 15-15-15 y Urea",orgánico-minerales,37
"17-6-18-2, 15-15-15, Gallinaza y Cal",orgánico-minerales,37
"17-6-18-2, 18-18-18, Sulfato de amonio y Menores",orgánico-minerales,37
"17-6-18-2, 18-18-18, Urea y DAP",orgánico-minerales,37
"17-6-18-2, 20-4-18 y Nitrato de amonio",orgánico-minerales,37
"17-6-18-2, 25-4-24, 18-18-18, Urea y Cal",orgánico-minerales,37
"17-6-18-2, DAP y KCl",orgánico-minerales,37
"17-6-18-2, DAP y Menores",orgánico-minerales,37
"17-6-18-2, DAP y Sulfato de amonio",orgánico-minerales,37
"17-6-18-2, DAP, KCl, Menores y Cal",orgánico-minerales,37
"17-6-18-2, DAP, Zinc y Nitrax",orgánico-minerales,37
"17-6-18-2, KCl y Porquinaza",orgánico-minerales,37
"17-6-18-2, KCl, Sulfato doble de potasio y magnesio  y Borax",orgánico-minerales,37
"17-6-18-2, Menores y Abono orgánico",orgánico-minerales,37
"17-6-18-2, Menores, Calfos y Gallinaza",orgánico-minerales,37
"17-6-18-2, Nitrato de potasio y Menores",orgánico-minerales,37
"17-6-18-2, Urea y Borax",orgánico-minerales,37
"17-6-18-2, Urea y Cal agrícola",orgánico-minerales,37
"17-6-18-2, UREA y DAP",orgánico-minerales,37
"17-6-18-2, Urea y KCl",orgánico-minerales,37
"17-6-18-2, Urea y Pulpa de café",orgánico-minerales,37
"17-6-18-2, Urea, DAP y Menores",orgánico-minerales,37
"17-6-18-2, Urea, Dap, KCl, Borax Y Sulfato doble de calcio y magnesio",orgánico-minerales,37
"17-6-18-2, Urea, DAP, KCl, Sulfato doble de calcio y Magnesio y Borax",orgánico-minerales,37
"17-6-18-2, Yeso Agricola y Abono orgánico",orgánico-minerales,37
"17-6-18-2, Yeso Agrícola y Cal",orgánico-minerales,37
18-18-18,orgánico-minerales,37
18-18-18 y 10-20-20,orgánico-minerales,37
18-18-18 y 10-30-10,orgánico-minerales,37
18-18-18 y 12-24-12,orgánico-minerales,37
18-18-18 y 13-26-6,orgánico-minerales,37
18-18-18 y 15-15-15,orgánico-minerales,37
18-18-18 y 17-6-18-2,orgánico-minerales,37
18-18-18 y Abono orgánico,orgánico-minerales,37
18-18-18 y Cal,orgánico-minerales,37
18-18-18 y cal agrícola,orgánico-minerales,37
18-18-18 y Cal dolomita,orgánico-minerales,37
18-18-18 y DAP,orgánico-minerales,37
18-18-18 y Gallinaza,orgánico-minerales,37
18-18-18 y Humus,orgánico-minerales,37
18-18-18 y KCl,orgánico-minerales,37
18-18-18 y Menores,orgánico-minerales,37
18-18-18 y Nitrato de amonio,orgánico-minerales,37
18-18-18 y Porquinaza,orgánico-minerales,37
18-18-18 y sulfato doble de calcio y magnesio,orgánico-minerales,37
18-18-18 y Urea,orgánico-minerales,37
"18-18-18, 10-30-10 y Menores",orgánico-minerales,37
"18-18-18, 10-30-10 y Urea",orgánico-minerales,37
"18-18-18, 15-15-15 y 10-30-10",orgánico-minerales,37
"18-18-18, 15-15-15 y Cal dolomita",orgánico-minerales,37
"18-18-18, 15-15-15 y Calfos",orgánico-minerales,37
"18-18-18, 15-15-15 y DAP",orgánico-minerales,37
"18-18-18, 15-15-15, Urea, DAP, KCl y Menores",orgánico-minerales,37
"18-18-18, 15-4-23, Urea y KCl",orgánico-minerales,37
"18-18-18, 15-42-34, Sulfato de magnesio y Sulfato de zinc",orgánico-minerales,37
"18-18-18, 17-6-18-2 y Urea",orgánico-minerales,37
"18-18-18, 25-4-24, Urea, Sulfato de amonio, Nitrato de amonio y Menores",orgánico-minerales,37
"18-18-18, Borax y Cal",orgánico-minerales,37
"18-18-18, Calcio y boro",orgánico-minerales,37
"18-18-18, DAP y Boro",orgánico-minerales,37
"18-18-18, DAP y Menores",orgánico-minerales,37
"18-18-18, DAP,  Nitrato de potasio y Sulfato de amonio",orgánico-minerales,37
"18-18-18, DAP, KCl y Menores",orgánico-minerales,37
"18-18-18, DAP, KCl, Nitrato de potasio y Sulfato de amonio",orgánico-minerales,37
"18-18-18, KCl y Boro",orgánico-minerales,37
"18-18-18, KCl y Sulfato de amonio",orgánico-minerales,37
"18-18-18, KCl y Urea",orgánico-minerales,37
"18-18-18, KCl, Nitrato de calcio y boro",orgánico-minerales,37
"18-18-18, KCl, Urea y Humus",orgánico-minerales,37
"18-18-18, Menores y Abono orgánico",orgánico-minerales,37
"18-18-18, sulfato de amonio y menores",orgánico-minerales,37
"18-18-18, Urea y Cal",orgánico-minerales,37
"18-18-18, Urea y Cal dolomita",orgánico-minerales,37
"18-18-18, Urea y DAP",orgánico-minerales,37
"18-18-18, Urea y KCl",orgánico-minerales,37
"18-18-18, urea y sulfato de zinc",orgánico-minerales,37
"18-18-18, Urea, DAP y Cal",orgánico-minerales,37
"18-18-18, Urea, DAP y KCl",orgánico-minerales,37
"18-18-18, Urea, KCl y Menores",orgánico-minerales,37
"18-18-18, urea, Menores y Cal dolomita",orgánico-minerales,37
18-24-6 y Urea,orgánico-minerales,37
18-3-18 y Urea,orgánico-minerales,37
18-4-18 y Abono orgánico,orgánico-minerales,37
19-19-19,orgánico-minerales,37
19-4-19 y 17-6-18-2,orgánico-minerales,37
19-4-19 y KCl,orgánico-minerales,37
19-4-19 y Menores,orgánico-minerales,37
19-4-19 y Sulafto de amonio,orgánico-minerales,37
"19-4-19, DAP y KCl",orgánico-minerales,37
"19-4-19, Nitrato de calcio y boro",orgánico-minerales,37
"19-4-19, Nitrato de potasio y Menores",orgánico-minerales,37
"19-4-19, sulfato de potasio",orgánico-minerales,37
19-9-19 y 25-4-24,orgánico-minerales,37
"19-9-19, Urea, DAP y KCl",orgánico-minerales,37
20-15-0,orgánico-minerales,37
"20-4-18, Urea y Cal",orgánico-minerales,37
20-4-18-3,orgánico-minerales,37
20-4-18-3 y Urea,orgánico-minerales,37
"20-4-18-3, 25-4-24, DAP y KCl",orgánico-minerales,37
20-4-20 y DAP,orgánico-minerales,37
21-15-0 y 31-8-8,orgánico-minerales,37
21-21-21,orgánico-minerales,37
21-21-21 y 20-21-26,orgánico-minerales,37
22-6-15 y 31-8-8,orgánico-minerales,37
23-4-20 y 15-15-15,orgánico-minerales,37
23-4-20 y 17-6-18-2,orgánico-minerales,37
23-4-20 y 25-4-24,orgánico-minerales,37
23-4-20 y Urea,orgánico-minerales,37
"23-4-20, 15-15-15, Urea y Gallinaza",orgánico-minerales,37
"23-4-20, Urea y DAP",orgánico-minerales,37
"23-4-20, Urea, DAP y KCl",orgánico-minerales,37
"23-4-20, Urea, DAP y KCl  y Menores",orgánico-minerales,37
"24-0-24, DAP y Menores",orgánico-minerales,37
24-4-24 y Abono orgánico,orgánico-minerales,37
24-4-24 y Menores,orgánico-minerales,37
24-4-24 y Urea,orgánico-minerales,37
24-4-4 y Amidas,orgánico-minerales,37
"24-5-25, 15-15-15 y Sulfato de amonio",orgánico-minerales,37
25-15-0,orgánico-minerales,37
25-15-0  y Urea,orgánico-minerales,37
25-15-0 y 27-11-11,orgánico-minerales,37
25-15-0 y 40-0-0,orgánico-minerales,37
25-15-0 y Gallinaza,orgánico-minerales,37
25-15-0 y Sulfato de potasio,orgánico-minerales,37
25-15-0 y Urea,orgánico-minerales,37
"25-15-0, 15-15-15 y Urea",orgánico-minerales,37
"25-15-0, 31-8-8, urea y Amidas",orgánico-minerales,37
"25-15-0, Urea, Porquinaza y Bovinaza",orgánico-minerales,37
25-4-24 y 15-15-15,orgánico-minerales,37
25-4-24 y 17-6-18-2,orgánico-minerales,37
25-4-24 y 18-18-18,orgánico-minerales,37
25-4-24 y Abono orgánico,orgánico-minerales,37
25-4-24 y Boro,orgánico-minerales,37
25-4-24 y Cal Agricola,orgánico-minerales,37
25-4-24 y DAP,orgánico-minerales,37
25-4-24 y Menores,orgánico-minerales,37
25-4-24 y Sulfato de amonio,orgánico-minerales,37
